time	I(R_load)
Step Information: Rload=500m  (Step: 1/2)
3.992484243853975e-06	-4.331009e-07
4.002484243853975e-06	-4.515727e-07
4.012484243853975e-06	-4.700077e-07
4.022484243853975e-06	-4.884037e-07
4.032484243853975e-06	-5.067583e-07
4.042484243853975e-06	-5.250694e-07
4.052484243853975e-06	-5.433347e-07
4.062484243853975e-06	-5.615521e-07
4.072484243853974e-06	-5.797191e-07
4.082484243853974e-06	-5.978337e-07
4.092484243853974e-06	-6.158937e-07
4.102484243853974e-06	-6.338967e-07
4.112484243853974e-06	-6.518407e-07
4.122484243853974e-06	-6.697234e-07
4.132484243853974e-06	-6.875426e-07
4.142484243853974e-06	-7.052962e-07
4.152484243853974e-06	-7.229821e-07
4.162484243853974e-06	-7.405980e-07
4.172484243853974e-06	-7.581418e-07
4.182484243853973e-06	-7.756115e-07
4.192484243853973e-06	-7.930048e-07
4.202484243853973e-06	-8.103197e-07
4.212484243853973e-06	-8.275541e-07
4.222484243853973e-06	-8.447058e-07
4.232484243853973e-06	-8.617728e-07
4.242484243853973e-06	-8.787531e-07
4.252484243853973e-06	-8.956446e-07
4.262484243853973e-06	-9.124452e-07
4.272484243853973e-06	-9.291529e-07
4.282484243853972e-06	-9.457657e-07
4.292484243853972e-06	-9.622815e-07
4.302484243853972e-06	-9.786986e-07
4.312484243853972e-06	-9.950147e-07
4.322484243853972e-06	-1.011228e-06
4.332484243853972e-06	-1.027337e-06
4.342484243853972e-06	-1.043338e-06
4.352484243853972e-06	-1.059232e-06
4.362484243853972e-06	-1.075014e-06
4.372484243853972e-06	-1.090685e-06
4.382484243853972e-06	-1.106241e-06
4.392484243853971e-06	-1.121680e-06
4.402484243853971e-06	-1.137002e-06
4.412484243853971e-06	-1.152204e-06
4.422484243853971e-06	-1.167285e-06
4.432484243853971e-06	-1.182242e-06
4.442484243853971e-06	-1.197074e-06
4.452484243853971e-06	-1.211779e-06
4.462484243853971e-06	-1.226355e-06
4.472484243853971e-06	-1.240801e-06
4.482484243853971e-06	-1.255114e-06
4.492484243853970e-06	-1.269294e-06
4.502484243853970e-06	-1.283339e-06
4.512484243853970e-06	-1.297246e-06
4.522484243853970e-06	-1.311015e-06
4.532484243853970e-06	-1.324643e-06
4.542484243853970e-06	-1.338130e-06
4.552484243853970e-06	-1.351473e-06
4.562484243853970e-06	-1.364670e-06
4.572484243853970e-06	-1.377722e-06
4.582484243853970e-06	-1.390625e-06
4.592484243853969e-06	-1.403378e-06
4.602484243853969e-06	-1.415981e-06
4.612484243853969e-06	-1.428430e-06
4.622484243853969e-06	-1.440726e-06
4.632484243853969e-06	-1.452867e-06
4.642484243853969e-06	-1.464851e-06
4.652484243853969e-06	-1.476676e-06
4.662484243853969e-06	-1.488342e-06
4.672484243853969e-06	-1.499847e-06
4.682484243853969e-06	-1.511191e-06
4.692484243853969e-06	-1.522370e-06
4.702484243853968e-06	-1.533385e-06
4.712484243853968e-06	-1.544235e-06
4.722484243853968e-06	-1.554917e-06
4.732484243853968e-06	-1.565430e-06
4.742484243853968e-06	-1.575774e-06
4.752484243853968e-06	-1.585948e-06
4.762484243853968e-06	-1.595950e-06
4.772484243853968e-06	-1.605779e-06
4.782484243853968e-06	-1.615433e-06
4.792484243853968e-06	-1.624913e-06
4.802484243853967e-06	-1.634217e-06
4.812484243853967e-06	-1.643344e-06
4.822484243853967e-06	-1.652293e-06
4.832484243853967e-06	-1.661062e-06
4.842484243853967e-06	-1.669652e-06
4.852484243853967e-06	-1.678061e-06
4.862484243853967e-06	-1.686288e-06
4.872484243853967e-06	-1.694332e-06
4.882484243853967e-06	-1.702193e-06
4.892484243853967e-06	-1.709869e-06
4.902484243853967e-06	-1.717361e-06
4.912484243853966e-06	-1.724667e-06
4.922484243853966e-06	-1.731786e-06
4.932484243853966e-06	-1.738717e-06
4.942484243853966e-06	-1.745461e-06
4.952484243853966e-06	-1.752016e-06
4.962484243853966e-06	-1.758381e-06
4.972484243853966e-06	-1.764556e-06
4.982484243853966e-06	-1.770541e-06
4.992484243853966e-06	-1.776335e-06
5.002484243853966e-06	-1.781937e-06
5.012484243853965e-06	-1.787347e-06
5.022484243853965e-06	-1.792564e-06
5.032484243853965e-06	-1.797588e-06
5.042484243853965e-06	-1.802418e-06
5.052484243853965e-06	-1.807054e-06
5.062484243853965e-06	-1.811496e-06
5.072484243853965e-06	-1.815743e-06
5.082484243853965e-06	-1.819794e-06
5.092484243853965e-06	-1.823650e-06
5.102484243853965e-06	-1.827310e-06
5.112484243853965e-06	-1.830774e-06
5.122484243853964e-06	-1.834042e-06
5.132484243853964e-06	-1.837113e-06
5.142484243853964e-06	-1.839988e-06
5.152484243853964e-06	-1.842666e-06
5.162484243853964e-06	-1.845146e-06
5.172484243853964e-06	-1.847430e-06
5.182484243853964e-06	-1.849516e-06
5.192484243853964e-06	-1.851404e-06
5.202484243853964e-06	-1.853096e-06
5.212484243853964e-06	-1.854590e-06
5.222484243853963e-06	-1.855886e-06
5.232484243853963e-06	-1.856985e-06
5.242484243853963e-06	-1.857887e-06
5.252484243853963e-06	-1.858592e-06
5.262484243853963e-06	-1.859100e-06
5.272484243853963e-06	-1.859410e-06
5.282484243853963e-06	-1.859524e-06
5.292484243853963e-06	-1.859441e-06
5.302484243853963e-06	-1.859162e-06
5.312484243853963e-06	-1.858687e-06
5.322484243853963e-06	-1.858016e-06
5.332484243853962e-06	-1.857149e-06
5.342484243853962e-06	-1.856086e-06
5.352484243853962e-06	-1.854829e-06
5.362484243853962e-06	-1.853377e-06
5.372484243853962e-06	-1.851731e-06
5.382484243853962e-06	-1.849891e-06
5.392484243853962e-06	-1.847858e-06
5.402484243853962e-06	-1.845632e-06
5.412484243853962e-06	-1.843213e-06
5.422484243853962e-06	-1.840602e-06
5.432484243853961e-06	-1.837800e-06
5.442484243853961e-06	-1.834807e-06
5.452484243853961e-06	-1.831624e-06
5.462484243853961e-06	-1.828251e-06
5.472484243853961e-06	-1.824688e-06
5.482484243853961e-06	-1.820938e-06
5.492484243853961e-06	-1.817000e-06
5.502484243853961e-06	-1.812874e-06
5.512484243853961e-06	-1.808563e-06
5.522484243853961e-06	-1.804065e-06
5.532484243853960e-06	-1.799383e-06
5.542484243853960e-06	-1.794517e-06
5.552484243853960e-06	-1.789468e-06
5.562484243853960e-06	-1.784236e-06
5.572484243853960e-06	-1.778822e-06
5.582484243853960e-06	-1.773229e-06
5.592484243853960e-06	-1.767455e-06
5.602484243853960e-06	-1.761502e-06
5.612484243853960e-06	-1.755372e-06
5.622484243853960e-06	-1.749064e-06
5.632484243853960e-06	-1.742581e-06
5.642484243853959e-06	-1.735922e-06
5.652484243853959e-06	-1.729090e-06
5.662484243853959e-06	-1.722085e-06
5.672484243853959e-06	-1.714908e-06
5.682484243853959e-06	-1.707561e-06
5.692484243853959e-06	-1.700044e-06
5.702484243853959e-06	-1.692358e-06
5.712484243853959e-06	-1.684505e-06
5.722484243853959e-06	-1.676486e-06
5.732484243853959e-06	-1.668302e-06
5.742484243853958e-06	-1.659955e-06
5.752484243853958e-06	-1.651445e-06
5.762484243853958e-06	-1.642773e-06
5.772484243853958e-06	-1.633942e-06
5.782484243853958e-06	-1.624952e-06
5.792484243853958e-06	-1.615805e-06
5.802484243853958e-06	-1.606502e-06
5.812484243853958e-06	-1.597044e-06
5.822484243853958e-06	-1.587433e-06
5.832484243853958e-06	-1.577670e-06
5.842484243853958e-06	-1.567757e-06
5.852484243853957e-06	-1.557694e-06
